Feature-1,Feature-2,Feature-3,Feature-4,Feature-5,Feature-6,Feature-7,Feature-8,Feature-9,Feature-10,Feature-11,Feature-12,Feature-13,Feature-14,Feature-15,Feature-16,Feature-17,Feature-18,Feature-19,Group
0.004276876,0.011732331,1.1952846,-144.31429,-16.35541,-40.807323,-15.563833,-15.589807,-3.9400277,-5.2371607,5.9252696,18.889332,27.639477,33.50187,2216.153564,3412236.75,-5.44E-09,0.05978233,7.206140518,0
0.005077242,0.012911244,82.17454,-124.230095,-51.14172,-40.744354,-13.811307,-24.408655,-14.354795,-9.9473,2.4019861,16.608229,23.715534,27.513264,1315.944092,2822082,-8.04E-09,0.048166782,4.607594967,0
0.004185914,0.013635304,-8.7400465,-129.4607,-18.34665,-37.44691,-1.2420496,-3.9545708,12.09525,18.747673,22.790373,14.258988,-15.282978,-36.173294,1838.190186,3466113.75,-5.55E-09,0.07406339,4.376623154,0
0.003538984,0.007709501,74.45595,-107.32335,-41.68005,-12.290521,-20.865059,-19.85987,-18.883993,-9.356505,-3.9499967,1.7359977,7.8706584,21.044685,1477.333374,3439782.25,-5.10E-09,0.067353427,4.212963104,0
0.003539365,0.0104862,73.81347,-90.05362,-48.773693,-25.628893,-15.0086975,-15.641303,-8.7247095,12.114289,25.291027,33.96905,31.386719,14.807333,1302.542969,2977900.5,-4.56E-09,0.05285522,2.464882851,0
0.004738156,0.01358985,-7.6177034,-138.69112,-16.667015,-45.87341,-12.235372,-9.616065,4.666406,16.203928,35.055103,32.1765,11.601535,-12.166833,1852.286133,3365684.5,-6.65E-09,0.041430004,5.340540409,0
0.004488302,0.020109881,150.35887,-105.35259,-43.460243,-40.859634,-16.032385,-32.112198,-17.841413,-15.30224,-18.581417,-14.210223,-7.868594,-15.243333,1284.429443,2712030.5,-6.17E-09,0.053793497,10.33816433,0
0.004662132,0.013668466,32.94815,-158.02153,-14.976554,-38.07388,-15.827537,-29.193838,-19.34798,-28.833649,-22.355774,-13.622439,-7.2772684,6.1243544,2130.802979,2982808,-6.06E-09,0.055019859,10.24369717,0
0.004578914,0.00986579,-7.885366,-139.14807,-15.19626,-37.5524,-8.247932,6.387041,28.958078,35.158894,31.586393,-5.2596455,-42.70313,-40.579285,1947.878174,3074518.25,-6.00E-09,0.045938503,4.461538315,0
0.003938011,0.011614613,2.4385777,-165.45467,-10.950154,-22.467846,-12.512548,-19.830416,-7.0941277,-12.809579,-2.4201584,18.716497,24.379732,30.751577,2129.991943,2946157,-4.34E-09,0.067375302,7.28717947,0
0.002444527,0.011165459,94.75234,-56.516403,-31.090256,-14.187585,-5.031321,-9.318365,-8.383347,-6.0746384,-6.7004337,-4.6260843,-3.417554,-4.7472596,1889.450439,4991512.5,-3.69E-09,0.110464677,4.31274128,0
